Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2026-02-16,300.00,330.00,300.00,330.00,,10,,40150.00
2026-02-17,328.00,361.80,328.00,361.80,,9.64,,20681.00
2026-02-22,358.20,395.30,358.20,395.30,,9.26,,22590.00
2026-02-23,391.50,432.00,391.50,432.00,,9.28,,24689.00
2026-02-24,427.90,472.20,427.90,472.20,,9.31,,26986.00
2026-02-25,467.50,519.40,467.50,519.40,,10,,29717.00
2026-02-26,514.30,567.50,514.30,567.50,,9.26,,32431.00
2026-03-01,561.90,624.20,561.90,624.20,,9.99,,66647.00
2026-03-03,621.10,685.50,621.10,685.50,,9.82,,39173.00
2026-03-09,675.30,675.30,675.30,675.30,,-1.49,,6753.00
2026-03-10,688.80,742.80,688.80,742.80,,10,,56478.00
2026-03-11,735.60,812.10,735.60,812.10,,9.33,,46401.00
2026-03-12,802.10,893.30,802.10,893.30,,10,,136911.00
2026-03-15,885.20,939.30,885.20,939.30,,5.15,,72599.00
2026-03-16,921.20,1033.20,921.20,1033.20,,10,,168970.00
2026-03-17,1017.80,1136.50,1017.80,1136.50,,10,,270821.00
